Genus,Species,GenusSpecies,COMMONNAME,Common,Combined
Magnolia,liliiflora,Magnolia liliiflora,Lily magnolia,"Magnolia, Lily",Lily magnolia/Magnolia liliiflora
Magnolia,soulangeana,Magnolia soulangeana,Saucer magnolia,"Magnolia, Saucer",Saucer magnolia/Magnolia soulangeana
Magnolia,spp.,Magnolia spp.,Magnolia species,"Magnolia, Species",Magnolia species/Magnolia spp.
Magnolia,stellata,Magnolia stellata,Star magnolia,"Magnolia, Star",Star magnolia/Magnolia stellata
Magnolia,virginiana,Magnolia virginiana,Sweetbay magnolia,"Magnolia, Sweetbay",Sweetbay magnolia/Magnolia virginiana
Malus,pumila,Malus pumila,Apple,Apple,Apple/Malus pumila
Malus,sargentii,Malus sargentii,Sargent's crabapple,"Apple, Sargent's",Sargent's crabapple/Malus sargentii
Malus,spp.,Malus spp.,Apple species,"Apple, Species",Apple species/Malus spp.
Melia,azedarach,Melia azedarach,Chinaberry,Chinaberry,Chinaberry/Melia azedarach
Malus,hybrid,Malus hybrid,Hybrid apple,"Apple, Hybrid",Hybrid apple/Malus hybrid
Metasequoia,glyptostroboides,Metasequoia glyptostroboides,Dawn redwood,Dawn Redwood,Dawn redwood/Metasequoia glyptostroboides
Morus,alba,Morus alba,White mulberry,"Mulberry, White",White mulberry/Morus alba
Morus,rubra,Morus rubra,Red mulberry,"Mulberry, Red",Red mulberry/Morus rubra
Nothofagus,alpina,Nothofagus alpina,Rauli,Rauli,Rauli/Nothofagus alpina
Morus,spp.,Morus spp.,Mulberry species,"Mulberry, Species",Mulberry species/Morus spp.
Nyssa,aquatica,Nyssa aquatica,Water tupelo,"Tupelo, Water",Water tupelo/Nyssa aquatica
Nyssa,sylvatica,Nyssa sylvatica,Black tupelo,"Tupelo, Black",Black tupelo/Nyssa sylvatica
Ostrya,virginiana,Ostrya virginiana,Ironwood,Ironwood,Ironwood/Ostrya virginiana
Parrotia,persica,Parrotia persica,Persian ironwood,"Ironwood, Persian",Persian ironwood/Parrotia persica
Phellodendron,amurense,Phellodendron amurense,Amur corktree,Amur Corktree,Amur corktree/Phellodendron amurense
Philadelphus,coronarius,Philadelphus coronarius,Mock orange,Mock Orange,Mock orange/Philadelphus coronarius
Picea,abies,Picea abies,Norway spruce,"Spruce, Norway",Norway spruce/Picea abies
Picea,glauca,Picea glauca,White spruce,"Spruce, White",White spruce/Picea glauca
Picea,mariana,Picea mariana,Black spruce,"Spruce, Black",Black spruce/Picea mariana
Picea,omorika,Picea omorika,Serbian spruce,"Spruce, Serbian",Serbian spruce/Picea omorika
Picea,pungens,Picea pungens,Blue spruce,"Spruce, Blue",Blue spruce/Picea pungens
Picea,rubens,Picea rubens,Red spruce,"Spruce, Red",Red spruce/Picea rubens
Picea,spp.,Picea spp.,Spruce species,"Spruce, Species",Spruce species/Picea spp.
Pinus,banksiana,Pinus banksiana,Jack pine,"Pine, Jack",Jack pine/Pinus banksiana
Pinus,flexilis,Pinus flexilis,Limber pine,"Pine, Limber",Limber pine/Pinus flexilis
Pinus,mugo,Pinus mugo,Mugo pine,"Pine, Mugo",Mugo pine/Pinus mugo
Pinus,nigra,Pinus nigra,Austrian pine,"Pine, Austrian",Austrian pine/Pinus nigra
Pinus,resinosa,Pinus resinosa,Red pine,"Pine, Red",Red pine/Pinus resinosa
Pinus,spp.,Pinus spp.,Pine species,"Pine, Species",Pine species/Pinus spp.
Pinus,strobus,Pinus strobus,White pine,"Pine, White",White pine/Pinus strobus
Pinus,sylvestris,Pinus sylvestris,Scots pine,"Pine, Scots",Scots pine/Pinus sylvestris
Platanus,acerifolia,Platanus acerifolia,London planetree,"Sycamore, Planetree",London planetree/Platanus acerifolia
Platanus,occidentalis,Platanus occidentalis,American sycamore,"Sycamore, American",American sycamore/Platanus occidentalis
Platanus,spp.,Platanus spp.,Sycamore species,"Sycamore, Species",Sycamore species/Platanus spp.
Populus,alba,Populus alba,White poplar,"Poplar, White",White poplar/Populus alba
Populus,balsamifera,Populus balsamifera,Balsam poplar,"Poplar, Balsam",Balsam poplar/Populus balsamifera
Populus,deltoides,Populus deltoides,Eastern cottonwood,"Poplar, Cottonwood",Eastern cottonwood/Populus deltoides
Populus,spp.,Populus spp.,Poplar species,"Poplar, Species",Poplar species/Populus spp.
Populus,tremuloides,Populus tremuloides,Quaking aspen,"Aspen, Quaking",Quaking aspen/Populus tremuloides
Prunus,americana,Prunus americana,American plum,"Plum, American",American plum/Prunus americana
Prunus,avium,Prunus avium,Wild cherry,"Cherry, Wild",Wild cherry/Prunus avium
Prunus,cerasifera,Prunus cerasifera,Cherry plum,"Plum, Cherry",Cherry plum/Prunus cerasifera
